tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b0001	35.8598	5.27715	8.21664	22.3935	0
b0002	5418.81	913.827	1362.32	8348.06	3891.89
b0003	1576.5	313.111	416.583	2027.2	760.58
b0004	5873.04	1670.22	1556.23	6615.51	3013.78
b0005	326.723	473.185	514.361	229.828	652.286
b0006	4896.85	2541.83	1477.35	2873.44	1788.96
b0007	846.026	1514.54	828.237	1195.11	1458.2
b0008	61401.3	22387.4	9716.17	57119.9	35361.1
b0009	2325.57	2891	2396.79	2083.77	4997.5
b0010	1134.23	2301.72	2664.66	1079.6	4127.79
b0011	124.845	831.151	4831.38	115.503	1647.08
b0013	74.3759	263.858	1616.21	88.3954	720.285
b0014	120160	19813.9	30722.8	64780.8	41230
b0015	16553.9	6950.01	6848.57	10972.8	6950.16
b0016	0	0	0	0	0
b0018	47.7199	250.235	875.893	77.7868	324.853
b0019	2357.45	1861.08	2373.79	2931.19	2201.99
b0020	2731.99	2759.07	3827.31	2525.75	2753.54
b0021	0	0	0	0	0
b0022	0	0	0	0	0
b0023	47045.4	40817.9	21473.4	41781.5	17560.5
b0024	66.407	123.134	267.041	119.039	30.2217
b0025	11732.8	7300.06	2388.58	12574.5	4784.27
b0026	40265.2	13425.1	5563.48	30048.5	14953.9
b0027	3098.55	1175.93	579.273	2206.35	1082.95
b0028	3308.4	2058.97	976.958	3059.66	2195.27
b0029	4930.06	2751.16	1803.55	3351.95	2002.19
b0030	1027.98	656.126	280.187	935.812	805.074
b0031	3960.52	1135.47	548.05	2228.74	1277.71
b0032	2475.65	2752.91	1395.18	40579.4	19582
b0033	7088.29	4427.53	13214.8	79038.4	43988.6
b0034	588.366	384.353	1374.64	1193.93	764.778
b0035	77.0322	234.833	646.649	108.432	750.507
b0036	49.1412	222.52	584.203	86.0382	491.103
b0037	795.556	1715.95	3040.16	1005.35	1639.53
b0038	406.411	635.897	1264.54	530.372	1183.68
b0039	903.136	1279.71	1701.67	1050.14	1024.18
b0040	81.0166	168.869	1119.11	56.573	338.316
b0041	79.6884	184.7	1222.64	75.4307	208.194
b0042	26.5628	78.2778	769.899	28.2865	152.788
b0043	62.4226	62.4463	1259.61	49.5014	114.171
b0044	14.6095	21.9881	227.601	7.07163	48.6906
b0045	57.1101	152.158	1495.43	53.0372	218.268
b0046	557.819	168.869	451.093	480.871	223.305
b0047	1429.08	1342.16	2382	1411.97	1729.36
b0048	5163.81	5580.59	2724.64	4908.89	3186.71
b0049	3350.9	4589.36	2321.2	2768.54	3488.09
b0050	2799.72	3205.87	1558.7	2671.9	2529.39
b0051	12853.7	10675.7	3352.39	11800.2	8180.86
b0052	8990.18	10471.6	2331.88	10871.5	6447.3
b0053	25116.5	11280.8	3705.7	22049.3	10110.9
b0054	28245.6	11523.5	3524.94	25002.9	10877.3
b0055	1888.62	1361.51	864.39	1752.59	1625.26
b0058	2831.6	2747.64	1886.54	1822.12	1953.5
b0059	12581.5	6638.66	3622.72	5984.96	4099.24
b0060	2132.99	1502.23	1675.37	2013.06	1384.32
b0061	39.8442	96.7478	514.361	75.4307	310.612
b0062	302.816	352.69	1211.13	287.58	767.296
b0063	78.3603	227.797	1825.74	152.04	334.958
b0064	766.337	444.16	789.619	817.952	557.423
b0065	551.178	2375.6	1176.62	500.907	1927.48
b0066	1751.82	1643.83	921.085	1344.79	1192.08
b0067	3922	2675.52	1296.59	3425.03	1690.74
b0068	10039.4	5285.95	1278.51	8404.63	3695.45
b0069	1450.33	935.815	623.643	1488.58	873.072
b0070	891.182	991.225	514.361	933.455	1010.75
b0071	691.961	854.019	659.796	776.701	617.027
b0072	557.819	258.58	700.879	684.77	576.732
b0073	536.569	267.376	801.944	915.776	418.907
b0074	735.79	266.496	699.236	909.883	723.643
b0075	54.4538	61.5668	29.5799	27.1079	20.9873
b0076	349.301	968.357	2841.31	380.689	1548.86
b0077	864.62	699.223	612.139	644.697	1283.58
b0078	375.864	265.617	182.409	342.974	332.439
b0080	4519.66	3642.99	970.385	5596.02	3064.15
b0081	2990.97	2571.73	1255.5	3532.28	2317
b0082	8757.76	7074.9	2609.6	7401.64	4377.12
b0083	1429.08	861.935	456.023	1203.36	680.829
b0084	14966.8	12228.9	5409.83	13254.6	8205.2
b0085	6789.46	3311.41	2370.5	4973.71	4146.25
b0086	8526.66	4372.12	2349.96	6456.4	4463.58
b0087	3611.21	1676.38	1019.68	2198.1	1376.77
b0088	6542.42	3800.43	2400.08	4054.4	2866.03
b0089	2692.14	1856.68	1234.96	2102.63	1384.32
b0090	5522.41	3214.67	1802.73	3942.43	2984.4
b0091	8020.64	4767.03	2301.48	5097.47	2987.75
b0092	6915.63	3752.06	2076.34	4430.38	2553.74
b0093	4378.88	3289.42	1558.7	4575.34	2217.94
b0094	4903.5	3016.77	1606.35	5175.25	2932.35
b0095	22959.6	8645.73	3951.38	15880.5	9338.52
b0096	33038.8	17052.2	6987.43	27791.5	13216.1
b0097	12143.2	16230.8	3183.13	16680.8	5995.66
b0098	21592.9	10681.8	5529.8	14118.5	7949.16
b0099	313.441	970.996	459.31	245.15	1084.62
b0101	893.839	779.259	287.582	713.056	341.674
b0102	3566.06	2411.66	751.001	3957.76	1781.4
b0103	2786.44	2396.71	677.873	3872.9	1307.09
b0104	57066.2	25260	7251.18	32810	11582.5
b0106	512.662	2468.83	4301.41	466.728	4553.41
b0107	796.884	1635.04	4640.76	690.663	2092.02
b0108	30.5472	259.46	1210.31	12.9647	489.424
b0109	4851.7	1774	1631	2901.73	1634.49
b0110	1862.05	544.426	984.353	1229.29	528.88
b0111	1721.27	924.381	1111.71	840.345	1023.34
b0112	2572.61	1672.86	2851.17	2277.07	1768.81
b0113	13006.5	13791	2395.15	15927.7	8648.45
b0114	55965.2	32657.7	6035.94	80932.5	35424.1
b0115	20762.8	10282.5	2711.49	32368	16499.4
b0116	28096.8	15512.2	6416.37	43865.3	24156.4
b0117	294.847	489.016	502.858	321.759	882.307
b0118	37365.9	11029.2	7543.69	43233.6	26857.1
b0119	657.43	621.824	791.262	590.481	752.186
b0120	5116	3896.3	8422.87	14562.8	5418.93
b0121	4798.57	3088.89	6302.16	12211.5	4639.88
b0122	1792.99	2784.58	2229.17	1298.82	2384.16
b0123	3008.24	1199.67	2718.89	2040.17	2065.99
b0124	7234.38	3265.68	4243.89	6982.06	3729.03
b0125	9150.89	4720.41	2632.61	4717.96	4125.27
b0126	39848.2	38076.4	12932.2	46400.5	22763.7
b0127	1994.87	1381.73	2096.89	1970.63	2080.26
b0128	770.322	671.957	1281.8	761.379	648.088
b0129	244.378	401.943	918.62	268.722	677.471
b0130	831.416	1897.14	3213.53	975.885	3355.45
b0131	13361.1	6185.7	2617	10661.7	5098.24
b0132	235.081	2356.25	3043.44	147.326	3259.75
b0133	17101.1	5765.29	3008.11	11823.8	5092.36
b0134	7424.31	2266.54	1630.18	5946.06	3042.32
b0135	207.19	1581.39	5385.18	231.007	2146.58
b0136	38.5161	497.811	2275.19	60.1089	765.617
b0137	103.595	581.366	4022.87	76.6093	1013.27
b0138	66.407	394.907	3112.46	58.9303	585.126
b0139	235.081	2083.6	10318.5	258.115	2868.55
b0140	54.4538	1814.46	4351.53	67.1805	1963.57
b0141	79.6884	2659.68	4888.08	81.3238	2697.29
b0142	1832.83	2518.08	1340.13	1639.44	2287.62
b0143	19884.9	12589.5	3654.76	18599.6	10455.9
b0144	1626.97	1353.59	592.42	1386.04	481.029
b0145	20325.9	12126	6318.59	13211	6699.99
b0146	1802.29	976.273	732.102	2059.02	1180.33
b0147	956.261	961.321	489.712	1098.46	643.051
b0148	3248.63	1914.73	1128.97	2697.83	1454
b0149	8513.38	4704.58	2384.47	6600.19	3964.92
b0150	1743.85	1823.26	2247.25	1602.9	1964.41
b0151	350.629	400.184	631.038	313.509	682.508
b0152	612.273	669.319	1151.15	444.334	871.393
b0153	645.476	1263.88	1296.59	528.015	1610.15
b0154	17741.3	8712.58	3963.71	12131.4	7168.43
b0155	1769.08	837.308	858.639	1435.54	1227.34
b0156	2896.67	2664.96	1614.57	1883.41	2099.57
b0157	730.477	4714.26	4427.95	537.444	5560.8
b0158	1437.05	2273.57	2025.4	1322.39	2211.22
b0159	15773	8519.96	3278.44	9666.92	4058.11
b0160	2769.17	1238.37	2961.28	1855.12	1592.52
b0161	24958.4	7088.97	10150.8	16578.3	9947.99
b0162	180.627	783.657	2422.26	276.972	1849.4
b0163	6688.52	3053.71	2617	2815.69	1748.66
b0164	440.943	1222.54	2068.13	377.154	1937.55
b0166	24765.8	8241.15	4773.04	13657.7	7075.25
b0167	5094.75	2815.36	3208.6	5847.06	3714.76
b0168	12825.9	7426.71	4649.79	14524	4937.9
b0169	94137.3	80714.9	23588.3	122982	61489.5
b0170	57289.4	34877.6	16132.5	59280.3	30667.5
b0171	4907.48	1825.89	1292.48	7466.46	5344.21
b0172	20897	7065.23	4367.96	19358.6	9517.33
b0173	2224.64	1389.65	729.637	1335.36	878.949
b0174	9808.32	5536.61	1917.76	9582.06	4470.3
b0175	3629.81	1990.37	749.357	2749.69	1753.7
b0176	13768.8	9437.31	3708.17	13546.9	6553.08
b0177	42819.3	15530.7	6149.33	32568.4	15201.5
b0178	26953.3	11392.5	5818.2	14806.8	8402.48
b0179	27144.5	12553.5	5602.92	21237.3	11065.4
b0180	19766.7	12682.8	5132.11	13117.9	6902.31
b0181	20950.1	11820.8	5603.75	12351.8	7300.23
b0182	8092.36	5716.04	2156.87	5607.8	4229.36
b0183	2672.22	3029.96	1196.34	2399.64	1856.96
b0184	19042.9	23818.4	11645.4	17000.2	14819.6
b0185	17929.9	9749.54	4300.59	11321.7	8245.5
b0186	2461.04	1463.53	1963.78	2710.79	1868.71
b0187	861.963	551.462	497.928	588.124	518.807
b0188	2636.36	3281.51	1841.35	2265.28	3182.52
b0189	2741.28	1385.25	640.076	1759.66	1178.65
b0190	1976.27	1275.31	1189.77	1506.26	1074.55
b0191	1293.61	685.15	552.158	1195.11	665.718
b0192	1548.61	1301.7	1872.57	1269.36	1449.8
b0193	224.456	1414.28	1534.87	221.578	1595.04
b0194	21974.1	12229.8	6151.8	20579.6	12790.5
b0195	1470.25	937.574	421.513	1681.87	1296.18
b0196	4236.77	1921.76	539.011	4542.34	2545.34
b0197	10862.9	6444.28	4372.07	10996.4	5456.7
b0198	1417.13	536.51	465.062	1203.36	717.766
b0199	3050.74	1653.51	975.315	3442.71	1906.49
b0200	2826.28	1268.28	477.387	2059.02	1206.35
b0201	111.564	45.7353	32.0449	60.1089	7.55543
b0202	0	0	0	0	0
b0203	0	0	0	0	0
b0204	90.3136	17.5905	51.7648	91.9312	61.283
b0205	0	0	0	0	0
b0206	0	0	0	0	0
b0207	2330.89	1431.87	440.412	1428.47	817.666
b0208	1565.88	906.791	444.52	1310.61	768.136
b0209	4288.57	2207.61	1967.88	3400.28	2710.72
b0210	612.273	655.246	862.747	644.697	740.433
b0211	28851.2	25368.2	7854.28	31966.1	13355.5
b0212	2921.91	4187.42	3690.09	2490.39	3525.03
b0213	1955.02	1859.32	1398.47	1473.26	1553.06
b0214	2395.97	1766.09	1068.16	1666.55	896.578
b0215	3916.69	2526.88	1489.68	3399.1	2092.02
b0216	0	0	0	0	0
b0217	243.05	2800.41	5817.38	183.862	1833.45
b0218	22.5784	491.655	5048.3	35.3582	336.637
b0219	1244.47	1168.89	3967.81	1078.42	1512.77
b0220	1792.99	456.474	2530.72	1736.09	726.161
b0221	676.024	590.162	5226.6	1209.25	1297.02
b0222	9238.55	4236.67	2732.85	6062.74	3249.68
b0223	5324.52	4865.53	2879.11	4101.55	4524.03
b0224	7717.83	6337.86	3031.94	5537.09	5711.91
b0225	395.786	512.763	345.099	526.836	163.701
b0226	1134.23	1196.15	558.731	1813.87	681.668
b0227	156.721	223.399	644.184	186.22	444.931
b0228	233.753	255.062	447.807	181.505	420.586
b0229	367.895	721.211	1367.25	276.972	832.777
b0230	83.6729	102.904	342.634	69.5377	247.65
b0231	1049.23	1104.68	1060.77	1033.64	1127.44
b0232	508.678	537.39	352.494	597.553	259.403
b0233	189.924	272.653	484.782	140.254	420.586
b0234	212.503	553.221	1152.79	219.221	1084.62
b0235	18.594	185.58	587.49	18.8577	224.145
b0236	70.3915	654.367	961.347	48.3228	1482.54
b0237	39957.1	9359.03	3655.58	23110.1	11085.5
b0238	6805.39	5934.16	1327.81	6888.95	3096.05
b0239	4198.25	2492.57	2134.68	2933.55	2853.44
b0240	6270.15	2704.54	2366.39	5055.04	3760.93
b0241	249.69	3249.85	5657.15	276.972	5052.07
b0242	8367.29	3168.05	4099.28	6972.63	4071.54
b0243	12675.8	4374.76	4667.87	9197.83	4914.39
b0244	367.895	2219.92	1209.49	313.509	1647.08
b0245	143.439	4015.91	8279.08	126.111	9000.2
b0246	53.1256	1485.52	3333.49	95.467	3844.04
b0247	85.001	3213.79	9946.24	155.576	5869.73
b0248	613.601	1724.75	5720.42	722.485	4580.27
b0249	95.6261	372.039	1004.89	68.3591	813.468
b0250	771.65	1197.03	4480.53	784.951	2029.05
b0251	181.955	290.243	2248.07	180.327	556.584
b0252	163.361	594.559	5575.81	231.007	2138.19
b0253	529.928	954.285	5140.33	398.369	1469.11
b0254	495.396	1322.81	7434.41	479.692	2252.36
b0256	262.972	257.701	2063.2	246.328	219.947
b0258	978.84	1235.73	6585.63	841.524	2255.72
b0259	0	0	0	0	0
b0260	290.863	260.34	3657.23	321.759	549.868
b0261	636.179	509.245	2570.99	466.728	909.171
b0262	197.893	537.39	3023.72	147.326	650.607
b0263	49.1412	90.5911	627.751	63.6447	287.107
b0264	0	0	0	0	0
b0265	0	0	0	0	0
b0266	255.003	366.762	384.539	300.544	490.264
b0267	31.8754	104.664	374.679	62.4661	189.725
b0268	70.3915	46.6148	282.652	84.8596	87.3072
b0269	127.502	107.302	446.163	129.647	202.318
b0270	74.3759	126.652	954.773	60.1089	528.041
b0271	204.534	729.127	751.822	203.899	925.961
b0272	1596.43	1924.4	721.421	1120.85	1570.69
b0273	316.097	196.134	548.871	203.899	499.498
b0274	0	0	0	0	0
b0275	0	0	0	0	0
b0276	227.112	1476.72	2980.17	246.328	3085.14
b0277	239.065	2931.46	6219.99	271.079	7433.71
b0278	177.971	5256.04	10369.4	121.396	10012.6
b0279	63.7508	3800.43	7203.53	71.8949	6194.62
b0280	2994.96	12838.4	6010.47	4423.3	11561.5
b0281	3451.84	2979.83	3897.15	5750.41	4492.97
b0283	142.111	131.929	471.635	126.111	292.143
b0284	318.754	492.534	1066.52	429.012	676.631
b0285	86.3291	104.664	266.219	113.146	84.7888
b0286	71.7196	99.3864	227.601	89.574	130.961
b0287	3358.87	1489.04	1861.89	4475.16	2280.9
b0288	377.192	901.514	810.16	662.376	1108.97
b0289	422.349	562.017	550.515	366.546	583.447
b0290	713.212	801.248	881.645	654.126	992.28
b0291	426.333	708.897	967.098	504.443	845.369
b0292	62.4226	82.6754	231.709	55.3944	172.936
b0293	864.62	2139.89	2299.84	1166.82	2931.51
b0294	30.5472	207.568	820.02	42.4298	443.252
b0295	54.4538	95.8683	473.278	34.1795	155.306
b0296	185.94	204.05	525.865	195.648	129.282
b0297	14.6095	238.351	1167.58	9.42884	440.734
b0298	0	0	0	0	0
b0299	0	0	0	0	0
b0300	340.004	864.573	1516.79	371.261	1441.41
b0301	94.298	946.369	3507.68	96.6456	2436.21
b0303	30.5472	105.543	315.519	18.8577	240.095
b0304	130.158	445.919	2119.07	339.438	1366.69
b0305	152.736	293.761	645.006	242.793	695.94
b0306	45.1568	115.218	421.513	87.2168	339.995
b0307	354.614	233.074	902.187	504.443	648.928
b0308	162.033	147.76	301.551	155.576	371.056
b0310	26.5628	136.326	658.153	27.1079	238.416
b0311	569.772	416.016	811.804	878.061	1475.83
b0312	1249.78	539.149	658.974	2299.46	1434.69
b0313	624.226	454.715	390.29	1509.79	878.109
b0314	956.261	685.15	1024.61	1736.09	1396.08
b0315	834.072	2067.76	3284.19	1020.67	2583.12
b0316	548.522	1473.21	2135.5	586.945	2677.14
b0317	11.9533	211.086	517.648	28.2865	803.395
b0318	148.752	112.579	389.469	104.896	279.551
b0319	22.5784	153.037	602.279	16.5005	407.154
b0320	65.0789	156.556	674.586	103.717	421.425
b0321	272.269	247.147	551.336	302.902	408.833
b0323	135.47	143.363	456.023	114.325	334.118
b0324	1650.88	1029.04	1427.23	1424.93	1040.97
b0325	1592.44	430.967	435.482	2935.91	812.629
b0326	22.5784	182.941	1179.91	4.71442	313.97
b0327	120.861	6879.65	3717.21	161.469	6379.31
b0328	106.251	5380.06	2918.55	176.791	6964.43
b0329	4332.4	9328.25	30959.5	13109.6	8902.82
b0330	146.095	832.031	6909.37	431.369	3160.69
b0331	51.7975	200.532	2437.05	66.0019	269.477
b0333	61.0945	134.567	2250.54	100.181	343.353
b0334	53.1256	120.495	1271.94	66.0019	273.675
b0335	95.6261	248.906	1842.99	107.253	467.597
b0336	1535.33	1163.61	1552.94	11848.5	4970.64
b0337	11116.5	8213.01	9527.19	49827.9	19802
b0338	754.384	822.356	2845.42	636.447	3232.89
b0339	227.112	202.291	1317.95	176.791	556.584
b0340	98.2824	106.423	4397.54	91.9312	575.892
b0341	219.143	307.834	2962.1	143.79	878.949
b0342	61.0945	169.748	969.563	44.787	519.646
b0343	87.6573	518.04	5033.51	152.04	1480.03
b0344	223.128	269.135	8977.5	361.832	572.534
b0345	2174.17	1516.3	1059.95	2121.49	1682.34
b0346	471.49	207.568	495.463	1071.35	539.794
b0347	73.0477	87.9525	663.083	116.682	420.586
b0348	30.5472	122.254	445.342	54.2158	164.541
b0349	160.705	266.496	442.877	139.075	377.772
b0350	66.407	106.423	336.882	54.2158	116.689
b0351	91.6417	50.1329	264.576	123.754	89.8257
b0352	94.298	102.904	416.583	45.9656	245.132
b0353	183.283	327.183	323.735	130.825	253.527
b0354	1835.49	1001.78	658.153	1481.51	836.974
b0355	1951.04	3689.61	2404.19	1619.4	3655.99
b0356	5474.6	1565.56	1580.88	3139.8	2127.27
b0357	1375.95	423.931	625.286	1086.67	683.347
b0358	172.658	669.319	1036.12	330.009	1361.66
b0360	0	0	0	0	0
b0361	0	0	0	0	0
b0363	161.235	233.877	971.1	177.004	363.273
b0364	25.2347	122.254	1049.26	34.1795	282.909
b0365	29.2191	63.3258	1018.04	37.7154	86.4678
b0366	30.5472	35.181	603.101	40.0726	134.319
b0367	23.9065	90.5911	525.043	28.2865	160.343
b0368	140.783	382.594	1055.84	140.254	776.531
b0369	6239.61	2723.01	1545.55	4191.12	2011.42
b0372	0	0	0	0	0
b0373	0	0	0	0	0
b0375	51.7975	588.402	1393.54	61.2875	763.938
b0376	2601.83	2442.44	1509.4	2550.5	2276.7
b0377	919.073	1015.85	611.318	767.272	672.434
b0378	1966.98	2289.4	1437.91	1904.63	1786.44
b0379	92.9699	219.002	276.901	100.181	177.972
b0380	108.908	661.403	163.511	133.182	531.399
b0381	17337.5	6282.45	2465.81	9004.54	5290.48
b0382	1069.15	794.211	668.013	2882.87	1784.76
b0383	1459.63	935.815	1773.15	1094.92	2077.74
b0384	1333.45	453.835	690.197	2041.34	727.84
b0385	237.737	906.791	988.461	354.76	1302.89
b0386	3645.75	847.862	598.171	2979.51	1325.56
b0387	1475.56	819.718	723.064	953.492	758.062
b0388	1792.99	2300.84	1582.52	1427.29	1882.98
b0389	1144.86	893.598	531.616	964.099	837.814
b0390	601.648	1623.6	2486.35	753.129	1791.48
b0391	13367.7	7111.84	4533.94	4624.85	4333.46
b0392	257.659	1189.12	1508.57	253.4	1237.41
b0393	7364.54	4622.79	2757.5	5401.55	3830.61
b0394	579.069	1102.05	668.013	618.768	1251.68
b0396	863.291	1190.88	1909.55	779.058	1200.47
b0397	5798.66	3762.61	3112.46	4499.91	2666.23
b0398	3099.88	2707.18	1051.73	2740.26	1372.57
b0399	1211.26	639.415	626.929	821.488	441.573
b0400	1253.76	525.077	794.549	835.631	515.449
b0401	2944.49	2125.81	1081.31	2574.07	1846.04
b0402	1710.65	1417.79	621.999	1513.33	1388.52
b0403	836.729	1819.74	1359.85	971.171	1610.99
b0404	818.135	669.319	548.05	566.909	670.755
b0405	5272.72	4935.9	1598.14	4362.02	2651.96
b0406	16211.3	13052.2	6422.95	14610	7701.51
b0407	15245.7	8680.92	4526.55	10941	4781.75
b0408	23133.6	11840.2	5748.36	15952.4	9231.06
b0409	6754.92	4407.3	2294.91	4695.56	3184.2
b0410	1313.53	1896.26	1301.52	1289.39	1277.71
b0411	17640.4	13893	5574.17	31000.8	13121.3
b0412	406.411	301.677	287.582	405.44	236.737
b0413	1573.85	555.86	239.104	1001.81	430.66
b0414	6444.14	3029.09	983.531	4704.99	2211.22
b0415	7628.84	3545.37	1101.03	4717.96	2461.39
b0416	11920.1	7133.83	2354.89	7033.92	2945.78
b0417	2714.72	1721.23	1183.2	1558.12	1822.54
b0418	2122.37	1411.64	1103.49	1460.29	1567.33
b0419	3186.21	3981.61	3641.61	3066.73	3994.31
b0420	11083.3	7057.31	4956.28	7612.61	5507.91
b0421	7194.54	4432.81	1521.72	6510.61	3313.48
b0422	4627.24	3109.12	722.242	4814.6	1770.49
b0423	8901.2	6919.23	4114.07	6508.26	5149.45
b0424	2106.43	1995.64	2074.7	1353.04	1872.91
b0425	4850.37	4449.52	3750.89	4041.44	3441.08
b0426	39633	30761.4	11692.3	34348.1	13350.5
b0427	2087.84	4409.06	3120.68	1698.37	3734.9
b0428	9672.85	3952.59	2757.5	9411.16	3723.99
b0429	9012.76	3796.03	2879.93	10602.7	4592.86
b0430	25813.7	11156.8	6020.33	29416.8	11969.5
b0431	76402.6	24407.7	11716.1	76848.6	30863.1
b0432	79740.2	35966.4	12824.5	91469.2	34858.3
b0433	3928.64	4077.48	2269.44	3335.45	3727.35
b0434	11209.5	8570.1	2437.88	10759.5	7042.5
b0435	3689.57	1045.76	598.171	1929.38	1260.92
b0436	136796	71371.7	24587.5	98083.5	46006.7
b0437	14347.9	3389.69	2280.12	8032.19	4205.02
b0438	25032.8	8062.61	4819.88	16088	8529.25
b0439	40274.5	12301	15739	21836	14357.8
b0440	14297.4	5321.13	2866.78	10240.9	5280.41
b0441	23263.7	9155.86	3204.49	13058.9	4927.82
b0442	318.754	292.002	234.174	220.399	151.109
b0443	131.486	394.907	319.627	136.718	533.917
b0444	3138.4	1788.08	834.81	1873.98	1160.18
b0445	403.755	596.318	924.372	436.084	683.347
b0446	887.198	518.92	790.44	863.918	1020.82
b0447	423.677	197.014	276.901	416.048	215.75
b0448	1268.37	1306.97	1684.41	1164.46	1294.5
b0449	1162.12	1112.6	2341.74	826.202	873.912
b0450	53.1256	66.8439	346.742	173.255	244.292
b0451	610.945	933.176	1570.2	764.915	1480.87
b0452	3769.26	1396.69	2608.78	2867.55	1626.1
b0453	3738.72	788.934	2335.17	7452.32	1241.61
b0454	341.332	264.737	497.107	253.4	615.348
b0455	67478.8	49892.8	11521.4	24511.4	19071.6
b0456	126.173	2939.37	3228.32	127.289	1787.28
b0457	2342.84	8226.2	11996.3	2381.96	9787.65
b0458	5428.11	5706.36	3147.79	7255.49	4962.24
b0459	1000.09	3092.41	5469.82	1278.79	4528.22
b0460	4725.52	7817.22	7556.84	4938.36	4405.66
b0461	1472.91	2568.21	3414.83	1646.51	2133.15
b0462	24034	12373.2	6028.55	21234.9	10848.8
b0463	8569.16	3643.87	1814.23	8212.52	3990.95
b0464	2132.99	2168.03	933.41	2086.13	1328.92
b0465	13580.2	9962.38	4920.12	7755.22	6170.27
b0466	262.972	313.991	203.773	241.614	198.12
b0467	953.605	694.825	891.505	670.626	679.15
b0468	621.57	560.258	307.302	760.2	355.945
b0469	18906.1	10281.7	2289.16	12744.3	5646.43
b0470	10036.8	8523.48	4209.38	5702.09	4738.1
b0471	9671.52	5930.64	2137.15	6191.21	3749.17
b0472	11828.4	7816.34	2580.02	6613.15	4960.56
b0473	35772.1	10916.7	14934.6	17881.8	16909.1
b0474	39538.7	16086.5	10086.7	24955.8	10128.5
b0475	1842.13	2696.62	2810.09	1450.86	3205.18
b0476	425.005	1944.63	5623.47	354.76	2711.56
b0477	6016.48	4745.92	4275.12	3981.33	3261.43
b0478	4069.42	2540.07	4100.1	2384.32	1544.67
b0479	686.649	563.776	999.965	518.586	810.95
b0480	4738.81	2180.34	3517.54	4424.48	2708.2
b0481	3328.32	2617.47	1701.67	2381.96	1815.82
b0482	2303	2328.98	1177.44	1972.98	2244.8
b0483	2000.18	882.164	638.433	1252.86	871.393
b0484	5323.19	2754.67	2511	4065.01	3450.32
b0485	163.361	62.4463	271.971	1700.73	395.401
b0486	401.099	436.245	675.408	1462.65	865.517
b0487	1212.59	985.948	751.822	1327.11	1261.76
b0488	739.774	760.789	605.566	760.2	1094.7
b0489	2232.6	1490.8	1272.76	2215.78	1525.36
b0490	2146.28	2406.38	1424.76	1873.98	1472.47
b0491	904.464	1423.95	1548.01	609.339	1756.22
b0492	11367.6	2861.98	2438.7	5592.48	4832.96
b0493	3241.99	1457.37	753.466	2194.56	1222.3
b0494	3397.38	1350.07	756.752	2145.06	1270.99
b0495	517.975	124.893	185.696	364.189	272.835
b0496	1341.42	1174.17	1045.16	1145.6	1285.26
b0497	662.742	1329.84	2015.54	618.768	1624.42
b0498	17.2658	77.3982	129.001	42.4298	209.873
b0499	111.564	974.514	562.018	146.147	904.134
b0501	5.31256	63.3258	388.647	10.6074	156.985
b0502	212.503	276.171	447.807	144.968	199.799
b0503	689.305	717.693	1161.01	688.305	957.861
b0504	94.298	147.76	472.457	148.504	162.862
b0505	134.142	166.23	421.513	152.04	144.393
b0506	6027.1	1794.23	1015.58	8082.87	2112.16
b0507	135.47	153.037	299.907	140.254	251.848
b0508	11.9533	51.892	172.549	10.6074	124.245
b0509	18.594	51.0125	204.594	48.3228	152.788
b0511	14.6095	78.2778	293.334	21.2149	149.43
b0512	231.096	184.7	441.233	401.904	517.128
b0513	148.752	240.99	308.124	216.863	495.301
b0514	46.4849	134.567	186.518	99.0028	297.18
b0515	1062.51	1044.88	3269.4	760.2	1140.87
b0516	394.458	542.667	2239.03	221.578	1250
b0517	49.1412	132.808	774.007	43.6084	440.734
b0518	38.5161	139.845	1750.97	44.787	688.384
b0520	58.4382	335.979	1700.84	41.2512	1177.81
b0521	345.317	4071.32	2443.63	165.005	4585.31
b0522	44286.9	22439.3	5611.96	20371	12358.2
b0523	30405.1	27450.9	3914.41	17799.3	9504.74
b0524	2510.19	1763.45	742.784	1911.7	1600.07
b0525	43515.2	24460.5	9813.13	36720.6	11336.5
b0526	21847.9	11544.7	3500.29	11762.5	5722.82
b0527	300.16	1700.12	898.078	236.9	1520.32
b0528	771.65	1212.87	385.36	390.118	514.609
b0529	15272.3	7216.51	1634.29	10427.1	4441.76
b0530	37.1879	214.604	862.747	50.68	275.354
b0531	47.8131	127.531	769.899	30.6437	312.291
b0532	176.643	930.538	1721.39	286.401	1868.71
b0533	22.5784	94.1092	609.674	17.6791	241.774
b0534	13.2814	42.2172	326.2	10.6074	88.1467
b0535	26.5628	73.0006	619.534	34.1795	15.1109
b0536	59.7663	373.798	182.409	64.8233	156.146
b0537	1715.52	20658.1	22323.9	1995.39	17772.6
b0539	74.3759	1087.97	2034.44	53.0372	1266.79
b0540	0	0	0	0	0
b0541	0	0	0	0	0
b0542	53.1256	172.387	649.114	63.6447	315.649
b0543	229.768	221.64	1060.77	285.222	302.217
b0544	63.7508	463.51	10242.9	73.0735	888.183
b0545	106.251	1049.27	4637.47	152.04	1342.35
b0546	490.084	1311.37	10449.1	953.492	1342.35
b0547	6.6407	438.883	2284.23	41.2512	822.703
b0548	0	43.9763	352.494	2.35721	162.022
b0549	6.6407	153.917	824.95	1.17861	501.177
