tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b3541	573.757	699.223	3485.5	2055.49	1940.07
b3542	285.55	178.544	957.238	780.237	831.937
b3543	181.955	526.836	1073.91	642.34	660.681
b3544	3296.45	2584.93	2481.42	8427.03	5915.07
b3545	26.5628	38.6991	34.5099	18.8577	36.9377
b3546	2324.25	3309.65	2540.58	1628.83	2454.68
b3547	432.974	508.366	1809.3	239.257	1087.14
b3548	1580.49	925.261	1622.79	2304.17	1601.75
b3549	2130.34	1208.47	1409.97	1250.5	1075.39
b3550	1059.86	883.923	792.905	667.09	812.629
b3551	3644.42	2074.8	2576.74	2600	3091.85
b3552	2061.27	2540.95	1569.38	2392.57	2276.7
b3553	24291.7	13751.4	4034.37	14016	9048.05
b3554	18657.7	7859.44	3893.04	10212.6	6593.38
b3555	3458.48	585.764	415.762	5975.53	489.424
b3556	4538.26	23215.1	15477.7	7492.39	16879.7
b3557	247.034	1055.43	2466.63	153.219	1664.71
b3558	139.455	1036.96	2720.53	155.576	1300.37
b3559	37652.8	11684.5	6317.77	17045	13813.9
b3560	24815	12235.1	2816.66	16038.5	10484.4
b3561	666.727	1093.25	2918.55	474.978	1773.01
b3562	46.4849	576.089	1794.51	16.5005	963.738
b3563	10.6251	185.58	939.162	14.1433	336.637
b3564	251.019	411.618	1071.45	275.794	944.429
b3565	314.769	445.919	1373.82	433.727	530.559
b3566	75.704	949.008	2801.87	124.932	1929.99
b3567	552.507	3649.15	6040.05	526.836	4644.07
b3568	277.581	725.608	1847.1	306.437	1179.49
b3569	2434.48	3429.27	3791.98	1862.2	2415.22
b3570	9716.68	9509.43	4868.36	8093.48	5738.77
b3571	877.901	1126.67	1843.81	951.134	2027.38
b3572	11823.1	7832.17	3782.12	9480.7	8429.35
b3573	579.069	1380.85	1903.79	601.089	1800.71
b3574	2287.06	1463.53	2770.65	1784.41	2227.17
b3575	49.1412	139.845	1851.21	51.8586	707.692
b3576	19.9221	102.025	860.282	16.5005	226.663
b3577	9.29699	78.2778	521.756	7.07163	356.784
b3578	71.7196	574.33	1282.62	84.8596	796.679
b3579	55.7819	154.796	2280.94	64.8233	564.979
b3580	171.33	175.026	1483.92	144.968	396.241
b3581	50.4693	83.5549	500.393	34.1795	210.713
